Flex1,Flex2,Flex3,Flex4,Flex5,Ax,Ay,Az,Label
4095,2363,2832,2735,3408,0.77,-9.29,-0.92,A
4095,1889,2400,1839,1359,-0.36,-6.45,-0.37,A
4095,1982,2672,2065,1562,-0.63,-9.67,-0.99,A
4095,1945,2742,2129,1723,0.06,-9.33,-1.4,A
4095,2023,2823,2169,1804,-0.67,-9.58,-0.99,A
4095,1974,2800,2112,1832,-0.32,-9.58,-0.78,A
4095,2075,2825,2135,1910,-0.25,-9.77,-1.02,A
4095,2126,2921,2197,1946,-0.21,-9.5,-0.84,A
4095,2042,2729,2087,1851,-0.56,-9.51,-0.6,A
4095,2188,2935,2266,2022,-0.94,-9.57,-0.76,A
4095,2248,2953,2253,2030,-0.52,-9.58,-0.44,A
4095,2229,2969,2258,2076,0.33,-9.59,-0.89,A
4095,2251,2972,2270,2082,-0.24,-9.64,-1.14,A
4095,2259,2986,2293,2098,-0.31,-9.52,-0.88,A
4095,2262,2967,2278,2094,-0.08,-9.56,-1.16,A
4095,2278,2970,2299,2118,0.23,-9.51,-0.96,A
4095,2273,2998,2319,2110,-0.3,-9.53,-0.92,A
4095,2255,3033,2309,2118,-0.35,-9.54,-1.08,A
4095,2239,3014,2310,2131,-0.04,-9.57,-1.1,A
4095,2096,2839,2155,1985,-0.34,-9.54,-1.02,A
4095,2255,3059,2356,2160,-0.05,-9.5,-1.3,A
4095,2096,2851,2199,2032,-0.07,-9.39,-1.08,A
4095,2279,3149,2379,2223,-0.35,-9.56,-0.99,A
4095,2103,2970,2224,2147,-0.2,-9.61,-0.81,A
4095,2254,3269,2383,2231,-0.73,-9.44,-1.38,A
4095,2282,3299,2386,2199,-0.68,-9.44,-1.24,A
4095,2288,3289,2419,2225,-0.74,-9.38,-0.87,A
4095,2308,3302,2435,2282,-0.93,-9.53,-0.74,A
4095,2885,4095,3040,3265,-1.05,-10.37,-0.42,A
4089,4095,4095,4095,4095,-0.92,-9.7,3.4,B
2298,4095,4095,4095,4095,-2.54,-8.11,4.53,B
3744,4095,4095,4095,4095,0.97,-9.6,2.46,B
2615,4095,4095,4095,4095,1.72,-9.55,2.55,B
2987,4095,4095,4095,4095,1.57,-9.54,2.53,B
3920,4095,4095,4095,4095,0.77,-9.69,2.67,B
2955,4095,4095,4095,4095,1.34,-9.78,2.9,B
2945,4095,4095,4095,4095,1.7,-9.66,2.57,B
3027,4095,4095,4095,4095,1.57,-9.74,3.39,B
4069,4095,4095,4095,4095,1.62,-9.68,3.62,B
3457,4095,4095,4095,4095,1.67,-9.44,3.71,B
2973,4095,4095,4095,4095,1.73,-9.33,3.65,B
2647,4095,4095,4095,4095,1.23,-9.37,3.75,B
2962,4095,4095,4095,4095,1.97,-9.47,3.45,B
2974,4095,4095,4095,4095,1.76,-9.37,3.66,B
3165,4095,4095,4095,4095,1.68,-9.09,3.82,B
3165,4095,4095,4095,4095,1.68,-9.09,3.82,B
3165,4095,4095,4095,4095,1.68,-9.09,3.82,B
3165,4095,4095,4095,4095,1.68,-9.09,3.82,B
3165,4095,4095,4095,4095,1.68,-9.09,3.82,B
3165,4095,4095,4095,4095,1.68,-9.09,3.82,B
3165,4095,4095,4095,4095,1.68,-9.09,3.82,B
3165,4095,4095,4095,4095,1.68,-9.09,3.82,B
3165,4095,4095,4095,4095,1.68,-9.09,3.82,B
3165,4095,4095,4095,4095,1.68,-9.09,3.82,B
3165,4095,4095,4095,4095,1.68,-9.09,3.82,B
3165,4095,4095,4095,4095,1.68,-9.09,3.82,B
3165,4095,4095,4095,4095,1.68,-9.09,3.82,B
4095,4095,3892,3685,2921,0.1,-9.36,3.99,D
4095,4095,3952,3034,2534,-0.96,-9.49,4.39,D
4095,4095,2991,2448,2167,-0.45,-8.72,4.48,D
4095,4095,3155,2544,2258,-0.4,-9.44,4.31,D
4095,4095,3097,2513,2251,-0.36,-9.44,4.26,D
4095,4095,3010,2512,2235,-0.11,-9.5,3.94,D
4095,4095,3070,2611,2329,-0.85,-9.46,3.49,D
4095,4095,3137,2640,2388,-0.28,-9.39,3.28,D
4095,4095,3144,2651,2354,-0.92,-9.44,3.68,D
4095,4095,3104,2656,2385,-0.58,-9.54,3.09,D
4095,4095,3171,2687,2365,-0.68,-9.57,3.05,D
4095,4095,3168,2709,2387,-0.57,-9.54,3.22,D
4095,4095,3162,2777,2403,-0.84,-9.68,3.47,D
4095,4095,3185,2783,2399,-0.38,-9.57,3.32,D
4095,4095,3205,2813,2421,-0.86,-9.69,3.41,D
4095,4095,2939,2558,2219,-0.78,-9.67,3.2,D
4095,4095,3225,2829,2464,-1.13,-9.71,3.24,D
4095,4095,3263,2855,2502,-0.43,-9.71,3.01,D
4095,4095,3275,2878,2514,-0.84,-9.74,3.08,D
4095,4095,3332,2866,2521,-0.65,-9.56,3.13,D
4095,4095,3335,2890,2559,-0.71,-9.49,3.24,D
4095,4095,3321,2935,2559,-0.51,-9.55,3.08,D
1322,3454,3007,2286,2065,0.11,-9.31,3.44,E
1263,2545,2605,2082,1827,0.37,-9.27,3.7,E
1330,2480,2685,2154,1805,0.29,-9.34,3.96,E
1465,2490,2862,2274,1889,0.11,-9.38,3.94,E
1447,2469,2854,2267,1885,0.33,-9.34,3.59,E
1453,2462,2847,2287,1875,-0.48,-9.37,3.88,E
1555,2459,2871,2317,1891,-0.17,-9.5,3.78,E
